sigla;nome;cred_aula;cred_trabalho;ch_total
ACH3666;A Cidade Constitucional;4;0;60
ACH4115;A Epistemologia e o Ensino de Ciencias;3;0;45
ACH3698;A Recente Producao Academica de Fronteira em Politicas Publicas;4;0;60
ACH1523;Abordagem Geografica do Lazer e Turismo;4;0;60
ACH3828;Acao Publica, Mudanca Social;4;0;60
ACH5017;Administracao de servicos de atencao a saude I;4;0;60
ACH5048;Administracao de Servicos de Atencao a Saude II;4;0;60
ACH1708;Administracao Financeira de Negocios de Lazer e Turismo;4;0;60
ACH3573;Administracao Financeira e de Orcamentos;2;0;30
ACH2787;Adornos Corporais - Linguagens, Formas, Criacao;2;0;30
ACH1505;Agencias de Turismo;4;0;60
ACH5007;Agravos na Saude da Mulher;2;1;60
ACH2717;Alfaiataria;2;0;30
ACH2877;Alfaiataria I;2;2;90
ACH2818;Alfaiataria II;2;2;90
ACH2023;Algoritmos e Estruturas de Dados I;4;2;120
ACH2023;Algoritmos e Estruturas de Dados I;4;2;120
ACH2024;Algoritmos e Estruturas de Dados II;4;2;120
ACH2024;Algoritmos e Estruturas de Dados II;4;2;120
ACH4068;Alimentos, Metabolismo e Saude;2;0;30
ACH3096;Ambiencia e Envelhecimento;2;0;30
ACH1063;Ambiente Aquatico;3;1;75
ACH1034;Ambiente Atmosferico;2;1;60
ACH1053;Ambiente Terrestre;3;1;75
ACH3126;Amor e Conjugalidade na Vida Adulta e na Velhice;3;0;45
ACH2747;Analise Cultural;4;0;60
ACH4698;Analise de Campanhas de Comunicacao;4;0;60
ACH4608;Analise de Series Temporais;2;0;30
ACH1137;Analise Financeira e Prestacao de Contas em Gestao Socioambiental;2;0;30
ACH4514;Analise Multivariada I;4;0;60
ACH4515;Analise Multivariada II;2;0;30
ACH2005;Analise, Projeto e Interface Humano-Computador;4;2;120
ACH2005;Analise, Projeto e Interface Humano-Computador;4;2;120
ACH5044;Anatomia, Fisiologia e Endocrinologia do Sistema Reprodutor;4;0;60
ACH1545;Animacao Cultural e Lazer;4;2;120
ACH2543;Antropologia Aplicada;4;0;60
ACH5083;Antropologia da Saude;4;0;60
ACH5041;Antropologia do Nascimento;2;0;30
ACH0512;Antropologia e Sociologia da Educacao Fisica;4;0;60
ACH2608;Aplicacao de Enzimas na Industria Textil;2;0;30
ACH0544;Aprendizagem Motora;4;0;60
ACH2055;Arquitetura de Computadores;2;0;30
ACH2687;Arte e Semiotica;2;0;30
ACH0162;Arte, Literatura e Cultura;2;0;30
ACH0172;Arte, Literatura e Cultura - Arte Contemporânea;2;0;30
ACH0192;Arte, Literatura e Cultura - Literatura Contemporânea;2;0;30
ACH0182;Arte, Literatura e Cultura Fantasia e Ficcao Cientifica na Cultura Pop;2;0;30
ACH0032;Arte, Literatura e Cultura no Brasil;2;0;30
ACH2573;Artes e Design Visuais;2;0;30
ACH4088;As imagens Geograficas na Formacao do Professor de Ciencias;2;2;90
ACH0523;Aspectos Metabolicos e Nutricionais da Atividade Fisica I;4;0;60
ACH0524;Aspectos Metabolicos e Nutricionais da Atividade Fisica II;4;0;60
ACH5014;Aspectos Psicossociais da Gestacao, Parto e Pos-Parto;4;0;60
ACH3023;Aspectos Socio - Culturais do Envelhecimento;4;1;90
ACH5016;Assistencia a Mulher em Risco Obstetrico;4;0;60
ACH5015;Assistencia a Mulher na Familia e na Comunidade;4;1;90
ACH5034;Assistencia a Mulher no Ciclo Gravidico-puerperal;6;4;210
ACH5037;Assistencia a Mulher no Parto;4;0;60
ACH5036;Assistencia a Mulher no Pre-Natal e Pos-Parto;4;0;60
ACH5006;Assistencia ao Recem-Nascido e Lactente;4;0;60
ACH5038;Assistencia as Urgencias e Emergencias;4;0;60
ACH5057;Assistencia em Saude Mental;2;0;30
ACH5067;Assistencia Perioperatoria;2;0;30
ACH4073;Astronomia do Sistema Solar;2;0;30
ACH4077;Astronomia Galactica e Extragalactica;2;1;60
ACH4116;Astronomia para o Ensino de Ciencias;2;0;30
ACH0606;Atividade Fisica e a Preparacao Corporal do Artista;2;1;60
ACH4083;Atividades Academico - Cientifico - Culturais;0;0;0
ACH0522;Atividades Complementares de Formacao em Educacao Fisica e Saude;1;7;225
ACH0573;Atividades de Cultura e Extensao Universitaria em Educacao Fisica e Saude II;0;1;30
ACH3565;Auditoria no Setor Publico;2;0;30
ACH3727;Auditoria no Setor Publico;2;0;30
ACH2807;Automacao e Instalacoes para a Industria Textil;4;0;60
ACH2068;Avaliacao de Desempenho de Sistemas Computacionais;4;0;60
ACH1066;Avaliacao de Impacto Ambiental;5;1;105
ACH3127;Avaliacao Fisica e Funcional do Idoso;4;1;90
ACH3095;Avaliacao Gerontologica Ampla;2;2;90
ACH3076;Avaliacao Nutricional do Idoso;2;1;60
ACH2004;Bancos de Dados;4;2;120
ACH2004;Bancos de Dados 1;4;2;120
ACH2025;Bancos de Dados 2;4;2;120
ACH2523;Beneficiamento Textil I;4;0;60
ACH2524;Beneficiamento Textil II;4;0;60
ACH5532;Biodiversidade Geral e Aplicada;4;0;60
ACH8612;Bioestatistica;2;1;60
ACH3094;Bioetica;2;0;30
ACH5026;Bioetica e Dilemas na Reproducao Humana;4;0;60
ACH5555;Bioinformatica;4;0;60
ACH5022;Biologia Celular;4;0;60
ACH0596;Biologia da Atividade Fisica;2;1;60
ACH4106;Biologia do Corpo Humano;4;0;60
ACH4067;Biologia do Desenvolvimento;2;0;30
ACH3042;Biologia do Sono;2;0;30
ACH3012;Biologia e Sociedade;4;2;120
ACH3032;Biologia e Sociedade;4;1;90
ACH5564;Biologia Molecular;2;0;30
ACH0574;Biologia, Corpo e Sociedade;2;1;60
ACH1024;Biomas Brasileiros;2;1;60
ACH0514;Biomecânica I;4;0;60
ACH0515;Biomecânica II;4;0;60
ACH5524;Bioprospeccao;4;0;60
ACH5542;Bioquimica I;4;0;60
ACH5543;Bioquimica II;4;0;60
ACH5527;Biorremediacao;2;0;30
ACH5064;Biosseguranca;2;0;30
ACH2847;Bonecas de Papel, Simples e Imantadas: Criacao de Roupas e Acessorios;2;0;30
ACH2011;Calculo I;4;0;60
ACH2011;Calculo I;4;0;60
ACH4532;Calculo I;2;0;30
ACH5511;Calculo I;4;0;60
ACH2012;Calculo II;4;0;60
ACH2012;Calculo II;4;0;60
ACH4553;Calculo II;2;0;30
ACH5512;Calculo II;4;0;60
ACH4021;Calculo para Licenciatura em Ciencias da Natureza;4;0;60
ACH1037;Certificacao Ambiental;2;1;60
ACH3011;Ciclo de Vida;4;1;90
ACH5544;Ciencia da Terra;4;2;120
ACH3542;Ciencia, Valores e Politicas Publicas;4;0;60
ACH4537;Ciencias Comportamentais Aplicadas a Marketing;2;0;30
ACH0011;Ciencias da Natureza;2;0;30
ACH0131;Ciencias da Natureza - Ciencia, Cultura e Sociedade;2;0;30
ACH0111;Ciencias da Natureza - Ciencias da Vida;2;0;30
ACH0121;Ciencias da Natureza - Ciencias do Universo;2;0;30
ACH0101;Ciencias da Natureza Ciencias da Terra;2;0;30
ACH4125;Ciencias Naturais na Educacao Infantil;4;4;180
ACH0635;Cinesiologia I;4;0;60
ACH0616;Cinesiologia II;4;1;90
ACH2525;Colorimetria;2;0;30
ACH4543;Comportamento do Consumidor;4;0;60
ACH4586;Comportamento Organizacional;4;0;60
ACH1147;Comportamento, Lideranca e Negociacao em Gestao Ambiental;2;0;30
ACH2157;Computacao Fisica e Aplicacoes;4;2;120
ACH2117;Computacao Grafica;4;0;60
ACH2003;Computacao Orientada a Objetos;4;0;60
ACH2003;Computacao Orientada a Objetos;4;0;60
ACH2167;Computacao Sônica;4;0;60
ACH2707;Comunicacao e Informacao de Moda;2;0;30
ACH3605;Comunicacao e Marketing no Setor Publico;2;0;30
ACH3065;Comunicacao Humana e Sociedade;2;0;30
ACH4647;Comunicacao Organizacional;2;0;30
ACH4074;Conceitos de optica Experimental;4;0;60
ACH1006;Conservacao Biologica;2;1;60
ACH2087;Construcao de Compiladores;4;2;120
ACH1538;Consultoria e Empreendedorismo em Lazer e Turismo;4;0;60
ACH2015;Contabilidade para Computacao;4;0;60
ACH3563;Controladoria Estrategica no Setor Publico;2;0;30
ACH0543;Controle Motor;4;0;60
ACH2797;Corpo, Arte, Moda;4;0;60
ACH0533;Crescimento e Desenvolvimento Humano;4;0;60
ACH0593;Crescimento e Desenvolvimento Motor;4;0;60
ACH3108;Cuidados Paliativos, Finitude e Morte;2;1;60
ACH3566;Cultura e Politica na Sociedade Contemporânea;2;0;30
ACH4042;Culturas Escolares;2;0;30
ACH4136;Curriculos Cientificos no Ensino Basico e na Formacao de Professores;2;0;30
ACH2107;Desafios de Programacao I;4;0;60
ACH2108;Desafios de Programacao II;4;0;60
ACH2541;Desenho de Textil e Moda I;4;1;90
ACH2552;Desenho de Textil e Moda II;4;2;120
ACH2655;Desenho e Ilustracao de Textil e Moda;2;0;30
ACH2147;Desenvolvimento de Sistemas de Informacao Distribuidos;4;0;60
ACH2147;Desenvolvimento de Sistemas de Informacao Distribuidos;4;0;60
ACH3646;Desenvolvimento Econômico Local;4;0;60
ACH0534;Desenvolvimento Motor;4;0;60
ACH1187;Desenvolvimento Rural Sustentavel;2;0;30
ACH3555;Desenvolvimento, Sustentabilidade, Tecnologia e Politicas Publica;2;0;30
ACH2576;Design de Acessorios de Textil e Moda;4;2;120
ACH2585;Design de Superficie em Textil e Moda;4;2;120
ACH4096;Didatica;2;1;60
ACH1012;Dinâmica e Historia da Terra;4;1;90
ACH3534;Direito Administrativo;2;0;30
ACH1106;Direito Ambiental;4;1;90
ACH1524;Direito Aplicado ao Lazer e Turismo;4;0;60
ACH3533;Direito Constitucional;4;0;60
ACH3808;Direito e Instituicoes - Analise Teorica e Estudo de Campo;4;0;60
ACH3628;Direito e Organizacao Administrativa;2;0;30
ACH3857;Direito e Politicas Publicas;4;0;60
ACH3596;Direito Financeiro;2;0;30
ACH3647;Direitos e Garantias Fundamentais;2;0;30
ACH3105;Direitos Humanos e Envelhecimento;2;0;30
ACH4095;Diversidade Vegetal e Fungos;4;0;60
ACH4085;Diversidade Zoologica;4;0;60
ACH4084;Divulgacao Cientifica - Teoria e Pratica;4;1;90
ACH3758;Do Crescimento Econômico ao Desenvolvimento Sustentavel e a Economia Verde: A Problematica Teorica e Implicacoes para as Politicas Publicas;2;0;30
ACH0613;Dor e Exercicio;2;0;30
ACH2638;Eco Design Textil;2;0;30
ACH1033;Ecologia;3;1;75
ACH4008;Ecologia;2;0;30
ACH5505;Ecologia Geral e Aplicada;4;0;60
ACH1044;Ecologia Humana;2;1;60
ACH1064;Economia;2;0;30
ACH3505;Economia Brasileira;2;0;30
ACH4697;Economia Brasileira;4;0;60
ACH3637;Economia Brasileira - Topicos Especiais;4;0;60
ACH3517;Economia da Regulacao;2;0;30
ACH1543;Economia do Lazer e Turismo;4;0;60
ACH3574;Economia do Setor Publico;2;0;30
ACH3156;Economia e financas em Gerontologia;2;2;90
ACH2557;Economia e Mercado Textil;2;0;30
ACH1025;Economia Ecologica;2;1;60
ACH2047;Economia para Computacao;4;0;60
ACH1005;Educacao Ambiental;2;0;30
ACH4038;Educacao Ambiental;4;2;120
ACH5073;Educacao em Saude;4;0;60
ACH3798;Educacao Fiscal e Coesao Social;2;0;30
ACH4098;Educacao Inclusiva e Lingua Brasileira de Sinais;4;0;60
ACH3098;Educacao para o Envelhecimento;2;0;30
ACH4567;Elaboracao de TCC I;0;6;180
ACH4568;Elaboracao de TCC II;0;6;180
ACH1157;Elaboracao e Analise de Projetos Socioambientais;2;0;30
ACH3575;Elaboracao e Avaliacao de Projetos no Setor Publico;4;0;60
ACH4156;Elaboracao e Uso de Maquetes do Relevo na Formacao de Professores de Ciencias;2;0;30
ACH4015;Eletricidade e Magnetismo;2;0;30
ACH5043;Embriologia e Genetica;4;0;60
ACH2657;Empreendedorismo;2;1;60
ACH3088;Empreendedorismo em Gerontologia;2;2;90
ACH2008;Empreendedorismo em Informatica;4;0;60
ACH5508;Empreendedorismo Tecnologico;2;0;30
ACH5506;Engenharia Bioquimica I;4;0;60
ACH5507;Engenharia Bioquimica II;4;0;60
ACH2006;Engenharia de Sistemas de Informacao I;4;0;60
ACH2006;Engenharia de Sistemas de Informacao I;4;0;60
ACH2007;Engenharia de Sistemas de Informacao II;4;2;120
ACH5545;Engenharia Genetica;4;0;60
ACH2798;Ensino da Arte e Design em Textil e Moda;2;0;30
ACH4206;Ensino de Ciencias na Perspectiva da Inclusao;4;2;120
ACH1553;Entretenimento;4;0;60
ACH3136;Envelhecimento e Aparencia;2;2;90
ACH3106;Envelhecimento e Velhice no Cinema;4;0;60
ACH8622;Epidemiologia;4;1;90
ACH0502;Epidemiologia da Atividade Fisica;4;0;60
ACH3113;Epidemiologia do Envelhecimento;2;1;60
ACH3113;Epidemiologia do Envelhecimento;2;1;60
ACH1043;Epidemiologia e Microbiologia;2;1;60
ACH1698;Epistemologia do Turismo;2;0;30
ACH2574;Ergonomia e Design de Moda;2;0;30
ACH1573;Espacos e Equipamentos de Lazer;4;0;60
ACH0567;Esportes Adaptados;4;1;90
ACH0557;Esportes Aquaticos;2;1;60
ACH0628;Esportes Aquaticos: Remo e Canoagem;2;1;60
ACH0608;Esportes Coletivos;6;1;120
ACH0625;Esportes de Aventura;2;2;90
ACH0537;Esportes Individuais;6;1;120
ACH0603;Esportes Individuais I;4;1;90
ACH0645;Esportes Individuais II;4;1;90
ACH0665;Esportes Individuais III;4;1;90
ACH3554;Estado, Burocracia e Politicas Publicas;2;0;30
ACH3676;Estado, Sociedade Civil e Movimentos Sociais;4;0;60
ACH5518;Estagio Curricular;0;8;240
ACH5018;Estagio Curricular de Administracao de Servicos de Atencao a Saude I;4;1;90
ACH5039;Estagio Curricular de Administracao de Servicos de Atencao a Saude II;4;1;90
ACH5027;Estagio Curricular Integrado I;16;1;270
ACH3053;Estagio Curricular Integrado I: Gestao em Atencao Primaria e Protecao Social Basica;4;4;180
ACH5028;Estagio Curricular Integrado II;16;1;270
ACH3054;Estagio Curricular Integrado II: Gestao em Atencao Primaria e Protecao Basica;4;4;180
ACH5019;Estagio Curricular Integrado III;16;1;270
ACH3055;Estagio Curricular Integrado III: Gestao de Redes de Apoio e Gestao de Casos I;4;4;180
ACH5049;Estagio Curricular Integrado IV;16;1;270
ACH3056;Estagio Curricular Integrado IV: Gestao de Redes de Apoio e Gestao de Casos I;4;4;180
ACH3057;Estagio Curricular Integrado V: Gestao Gerontologica Integrada e Gestao de Casos II;4;4;180
ACH3058;Estagio Curricular Integrado VI: Gestao Gerontologica Integrada e Gestao de Casos II;4;4;180
ACH3607;Estagio Obrigatorio;0;8;240
ACH1593;Estagio Supervisionado;0;10;300
ACH2548;Estagio Supervisionado;0;2;60
ACH0525;Estagio Supervisionado em Atividade Fisica I;6;4;210
ACH0526;Estagio Supervisionado em Atividade Fisica II;6;4;210
ACH0517;Estagio Supervisionado em Atividade Fisica III;6;4;210
ACH0518;Estagio Supervisionado em Atividade Fisica IV;6;4;210
ACH4687;Estagio Supervisionado I;0;5;150
ACH4688;Estagio Supervisionado II;0;5;150
ACH1004;Estatistica;4;0;60
ACH5513;Estatistica;4;0;60
ACH3553;Estatistica I;2;0;30
ACH3584;Estatistica II;2;0;30
ACH4727;Estetica dos Meios de Comunicacao;2;0;30
ACH4667;Estetica dos Meios de Comunicacao I;2;0;30
ACH2887;Estetica e Historia da Arte Moderna;2;0;30
ACH2907;Estetica e Historia da Arte Moderna Brasileira;2;0;30
ACH4027;Estrutura da Materia;4;0;60
ACH4034;Estrutura e Funcionamento da Educacao Basica no Brasil;4;1;90
ACH3807;Estruturas de Financiamento no Setor Publico;2;0;30
ACH4196;Estudo Didatico da Diversidade dos Grupos Menores de Invertebrados;2;0;30
ACH0595;Estudos Aplicados em Comportamento Motor;2;0;30
ACH0587;Estudos Avancados em Biomecânica;2;1;60
ACH0578;Estudos Avancados em Comportamento Motor;2;0;30
ACH0588;Estudos Avancados em Fisiologia do Exercicio I;4;0;60
ACH0618;Estudos Avancados em Fisiologia do Exercicio II;4;1;90
ACH0597;Estudos Avancados em Saude Publica e Atividade Fisica;2;0;30
ACH0051;Estudos Diversificados I;2;0;30
ACH0052;Estudos Diversificados II;2;0;30
ACH0564;Estudos Interdisciplinares em Sociologia do Esporte;4;2;120
ACH3033;etica;2;0;30
ACH5008;etica e Legislacao Profissional;2;0;30
ACH3667;etica e Politicas Publicas;2;0;30
ACH4508;etica em Marketing;2;0;30
ACH5503;etica em Pesquisa e Desenvolvimento;4;0;60
ACH2697;Etnografia Textil: da Teoria ao Campo;4;0;60
ACH5541;Evolucao Biologica e Aplicada;2;0;30
ACH0586;Evolucao do Metodo e Pesquisa Cientifica em Educacao Fisica e Esporte;2;0;30
ACH4538;Evolucao do Pensamento de Marketing;2;0;30
ACH4006;Evolucao e Biodiversidade;2;0;30
ACH4066;Experimentos de Astronomia para o Ensino de Ciencias;2;1;60
ACH2777;Experimentos em Moulage e Modelagem Plana;2;0;30
ACH3114;Farmacoepidemiologia Basica em Gerontologia;2;0;30
ACH5535;Farmacologia;4;0;60
ACH5535;Farmacologia para Biotecnologia;4;0;60
ACH3146;Farmacoterapia no Idoso;4;0;60
ACH3606;Federalismo Fiscal e Competencia Tributaria;4;0;60
ACH5514;Fenômenos dos Transportes;4;0;60
ACH2521;Fibras;2;0;30
ACH4584;Financas;4;0;60
ACH4523;Financas I;2;0;30
ACH4524;Financas II;2;0;30
ACH2512;Fisica Textil;4;0;60
ACH5502;Fisico-Quimica;4;0;60
ACH5035;Fisiologia da Gestacao, Parto e Pos-Parto;4;0;60
ACH0655;Fisiologia do Exercicio;4;0;60
ACH3116;Fisiologia do Exercicio e Envelhecimento;2;1;60
ACH5533;Fisiologia Humana I;4;0;60
ACH5534;Fisiologia Humana II;4;0;60
ACH1015;Fluidos em Meios Porosos e Fraturados;2;0;30
ACH1047;Fontes de Energia e Meio Ambiente;2;1;60
ACH5515;Formacao e Comportamento Geoquimico dos Solos;4;2;120
ACH3521;Formacao Econômica e Social do Brasil I;4;0;60
ACH3524;Formacao Econômica e Social do Brasil II;6;0;90
ACH3545;Formulacao, Implementacao e Avaliacao de Politicas Publicas I;4;0;60
ACH3546;Formulacao, Implementacao e Avaliacao de Politicas Publicas II;4;0;60
ACH3547;Formulacao, Implementacao e Avaliacao de Politicas Publicas III;2;0;30
ACH4014;Funcoes de Varias Variaveis;4;0;60
ACH3022;Fundamentacao do Processo de Cuidar em Saude;2;2;90
ACH8632;Fundamentacao do Processo de Cuidar I;4;0;60
ACH5033;Fundamentacao do Processo de Cuidar II;14;1;240
ACH0563;Fundamentos Biologicos da Atividade Fisica I;4;0;60
ACH0504;Fundamentos Biologicos da Atividade Fisica II;4;0;60
ACH0505;Fundamentos Biologicos da Atividade Fisica III;4;0;60
ACH0605;Fundamentos Biologicos da Atividade Fisica IV;4;0;60
ACH3002;Fundamentos Biologicos da Gerontologia I;4;0;60
ACH3003;Fundamentos Biologicos da Gerontologia II;4;0;60
ACH3004;Fundamentos Biologicos da Gerontologia III;4;0;60
ACH3004;Fundamentos Biologicos da Gerontologia III;4;0;60
ACH3006;Fundamentos Biologicos da Gerontologia IV;4;0;60
ACH5002;Fundamentos Biologicos da Obstetricia I;4;0;60
ACH5003;Fundamentos Biologicos da Obstetricia II;4;0;60
ACH5004;Fundamentos Biologicos da Obstetricia III;4;0;60
ACH5005;Fundamentos Biologicos da Obstetricia IV;4;0;60
ACH1001;Fundamentos da Ciencia Ambiental;2;1;60
ACH4512;Fundamentos da Comunicacao I;2;0;30
ACH4522;Fundamentos da Comunicacao II;2;0;30
ACH4012;Fundamentos da Didatica;4;1;90
ACH0511;Fundamentos da Educacao Fisica e Saude;4;0;60
ACH3047;Fundamentos da Gestao em Gerontologia;2;0;30
