sigla;nome;cred_aula;cred_trabalho;ch_total
ACH3666;A Cidade Constitucional;4;0;60
ACH4115;A Epistemologia e o Ensino de Ciências;3;0;45
ACH3698;A Recente Produção Acadêmica de Fronteira em Políticas Públicas;4;0;60
ACH1523;Abordagem Geográfica do Lazer e Turismo;4;0;60
ACH3828;Ação Pública, Mudança Social;4;0;60
ACH5017;Administração de serviços de atenção à saúde I;4;0;60
ACH5048;Administração de Serviços de Atenção à Saúde II;4;0;60
ACH1708;Administração Financeira de Negócios de Lazer e Turismo;4;0;60
ACH3573;Administração Financeira e de Orçamentos;2;0;30
ACH2787;Adornos Corporais - Linguagens, Formas, Criação;2;0;30
ACH1505;Agências de Turismo;4;0;60
ACH5007;Agravos na Saúde da Mulher;2;1;60
ACH2717;Alfaiataria;2;0;30
ACH2877;Alfaiataria I;2;2;90
ACH2818;Alfaiataria II;2;2;90
ACH2023;Algoritmos e Estruturas de Dados I;4;2;120
ACH2023;Algoritmos e Estruturas de Dados I;4;2;120
ACH2024;Algoritmos e Estruturas de Dados II;4;2;120
ACH2024;Algoritmos e Estruturas de Dados II;4;2;120
ACH4068;Alimentos, Metabolismo e Saúde;2;0;30
ACH3096;Ambiência e Envelhecimento;2;0;30
ACH1063;Ambiente Aquático;3;1;75
ACH1034;Ambiente Atmosférico;2;1;60
ACH1053;Ambiente Terrestre;3;1;75
ACH3126;Amor e Conjugalidade na Vida Adulta e na Velhice;3;0;45
ACH2747;Análise Cultural;4;0;60
ACH4698;Análise de Campanhas de Comunicação;4;0;60
ACH4608;Análise de Séries Temporais;2;0;30
ACH1137;Análise Financeira e Prestação de Contas em Gestão Socioambiental;2;0;30
ACH4514;Análise Multivariada I;4;0;60
ACH4515;Análise Multivariada II;2;0;30
ACH2005;Análise, Projeto e Interface Humano-Computador;4;2;120
ACH2005;Análise, Projeto e Interface Humano-Computador;4;2;120
ACH5044;Anatomia, Fisiologia e Endocrinologia do Sistema Reprodutor;4;0;60
ACH1545;Animação Cultural e Lazer;4;2;120
ACH2543;Antropologia Aplicada;4;0;60
ACH5083;Antropologia da Saúde;4;0;60
ACH5041;Antropologia do Nascimento;2;0;30
ACH0512;Antropologia e Sociologia da Educação Física;4;0;60
ACH2608;Aplicação de Enzimas na Indústria Têxtil;2;0;30
ACH0544;Aprendizagem Motora;4;0;60
ACH2055;Arquitetura de Computadores;2;0;30
ACH2687;Arte e Semiótica;2;0;30
ACH0162;Arte, Literatura e Cultura;2;0;30
ACH0172;Arte, Literatura e Cultura - Arte Contemporânea;2;0;30
ACH0192;Arte, Literatura e Cultura - Literatura Contemporânea;2;0;30
ACH0182;Arte, Literatura e Cultura  Fantasia e Ficção Científica na Cultura Pop;2;0;30
ACH0032;Arte, Literatura e Cultura no Brasil;2;0;30
ACH2573;Artes e Design Visuais;2;0;30
ACH4088;As imagens Geográficas na Formação do Professor de Ciências;2;2;90
ACH0523;Aspectos Metabólicos e Nutricionais da Atividade Física I;4;0;60
ACH0524;Aspectos Metabólicos e Nutricionais da Atividade Física II;4;0;60
ACH5014;Aspectos Psicossociais da Gestação, Parto e Pós-Parto;4;0;60
ACH3023;Aspectos Sócio - Culturais do Envelhecimento;4;1;90
ACH5016;Assistência à Mulher em Risco Obstétrico;4;0;60
ACH5015;Assistência à Mulher na Família e na Comunidade;4;1;90
ACH5034;Assistência à Mulher no Ciclo Gravídico-puerperal;6;4;210
ACH5037;Assistência à Mulher no Parto;4;0;60
ACH5036;Assistência à Mulher no Pré-Natal e Pós-Parto;4;0;60
ACH5006;Assistência ao Recém-Nascido e Lactente;4;0;60
ACH5038;Assistência às Urgências e Emergências;4;0;60
ACH5057;Assistência em Saúde Mental;2;0;30
ACH5067;Assistência Perioperatória;2;0;30
ACH4073;Astronomia do Sistema Solar;2;0;30
ACH4077;Astronomia Galáctica e Extragaláctica;2;1;60
ACH4116;Astronomia para o Ensino de Ciências;2;0;30
ACH0606;Atividade Física e a Preparação Corporal do Artista;2;1;60
ACH4083;Atividades Acadêmico - Científico - Culturais;0;0;0
ACH0522;Atividades Complementares de Formação em Educação Física e Saúde;1;7;225
ACH0573;Atividades de Cultura e Extensão Universitária em Educação Física e Saúde II;0;1;30
ACH3565;Auditoria no Setor Público;2;0;30
ACH3727;Auditoria no Setor Público;2;0;30
ACH2807;Automação e Instalações para a Indústria Têxtil;4;0;60
ACH2068;Avaliação de Desempenho de Sistemas Computacionais;4;0;60
ACH1066;Avaliação de Impacto Ambiental;5;1;105
ACH3127;Avaliação Física e Funcional do Idoso;4;1;90
ACH3095;Avaliação Gerontológica Ampla;2;2;90
ACH3076;Avaliação Nutricional do Idoso;2;1;60
ACH2004;Bancos de Dados;4;2;120
ACH2004;Bancos de Dados 1;4;2;120
ACH2025;Bancos de Dados 2;4;2;120
ACH2523;Beneficiamento Têxtil I;4;0;60
ACH2524;Beneficiamento Têxtil II;4;0;60
ACH5532;Biodiversidade Geral e Aplicada;4;0;60
ACH8612;Bioestatística;2;1;60
ACH3094;Bioética;2;0;30
ACH5026;Bioética e Dilemas na Reprodução Humana;4;0;60
ACH5555;Bioinformática;4;0;60
ACH5022;Biologia Celular;4;0;60
ACH0596;Biologia da Atividade Física;2;1;60
ACH4106;Biologia do Corpo Humano;4;0;60
ACH4067;Biologia do Desenvolvimento;2;0;30
ACH3042;Biologia do Sono;2;0;30
ACH3012;Biologia e Sociedade;4;2;120
ACH3032;Biologia e Sociedade;4;1;90
ACH5564;Biologia Molecular;2;0;30
ACH0574;Biologia, Corpo e Sociedade;2;1;60
ACH1024;Biomas Brasileiros;2;1;60
ACH0514;Biomecânica I;4;0;60
ACH0515;Biomecânica II;4;0;60
ACH5524;Bioprospecção;4;0;60
ACH5542;Bioquímica I;4;0;60
ACH5543;Bioquímica II;4;0;60
ACH5527;Biorremediação;2;0;30
ACH5064;Biossegurança;2;0;30
ACH2847;Bonecas de Papel, Simples e Imantadas: Criação de Roupas e Acessórios;2;0;30
ACH2011;Cálculo I;4;0;60
ACH2011;Cálculo I;4;0;60
ACH4532;Cálculo I;2;0;30
ACH5511;Cálculo I;4;0;60
ACH2012;Cálculo II;4;0;60
ACH2012;Cálculo II;4;0;60
